| No  | Color Name             | glColor3f(r, g, b) |
| --- | ---------------------- | ------------------ |
| 1   | White                  | (1.0, 1.0, 1.0)    |
| 2   | Black                  | (0.0, 0.0, 0.0)    |
| 3   | Red                    | (1.0, 0.0, 0.0)    |
| 4   | Green                  | (0.0, 1.0, 0.0)    |
| 5   | Blue                   | (0.0, 0.0, 1.0)    |
| 6   | Yellow                 | (1.0, 1.0, 0.0)    |
| 7   | Cyan                   | (0.0, 1.0, 1.0)    |
| 8   | Magenta                | (1.0, 0.0, 1.0)    |
| 9   | Gray                   | (0.5, 0.5, 0.5)    |
| 10  | Light Gray             | (0.8, 0.8, 0.8)    |
| 11  | Dark Gray              | (0.3, 0.3, 0.3)    |
| 12  | Orange                 | (1.0, 0.5, 0.0)    |
| 13  | Pink                   | (1.0, 0.75, 0.8)   |
| 14  | Brown                  | (0.6, 0.3, 0.0)    |
| 15  | Purple                 | (0.5, 0.0, 0.5)    |
| 16  | Sky Blue               | (0.53, 0.81, 0.92) |
| 17  | Olive                  | (0.5, 0.5, 0.0)    |
| 18  | Teal                   | (0.0, 0.5, 0.5)    |
| 19  | Navy                   | (0.0, 0.0, 0.5)    |
| 20  | Lime                   | (0.75, 1.0, 0.0)   |
| 21  | Gold                   | (1.0, 0.84, 0.0)   |
| 22  | Silver                 | (0.75, 0.75, 0.75) |
| 23  | Coral                  | (1.0, 0.5, 0.31)   |
| 24  | Salmon                 | (0.98, 0.5, 0.45)  |
| 25  | Tomato                 | (1.0, 0.39, 0.28)  |
| 26  | Crimson                | (0.86, 0.08, 0.24) |
| 27  | Firebrick              | (0.7, 0.13, 0.13)  |
| 28  | Maroon                 | (0.5, 0.0, 0.0)    |
| 29  | Dark Red               | (0.55, 0.0, 0.0)   |
| 30  | Light Coral            | (0.94, 0.5, 0.5)   |
| 31  | Indian Red             | (0.8, 0.36, 0.36)  |
| 32  | Dark Salmon            | (0.91, 0.59, 0.48) |
| 33  | Light Salmon           | (1.0, 0.63, 0.48)  |
| 34  | Peach Puff             | (1.0, 0.85, 0.73)  |
| 35  | Moccasin               | (1.0, 0.89, 0.71)  |
| 36  | Papaya Whip            | (1.0, 0.94, 0.84)  |
| 37  | Beige                  | (0.96, 0.96, 0.86) |
| 38  | Antique White          | (0.98, 0.92, 0.84) |
| 39  | Linen                  | (0.98, 0.94, 0.9)  |
| 40  | Ivory                  | (1.0, 1.0, 0.94)   |
| 41  | Mint Cream             | (0.96, 1.0, 0.98)  |
| 42  | Honeydew               | (0.94, 1.0, 0.94)  |
| 43  | Light Green            | (0.56, 0.93, 0.56) |
| 44  | Pale Green             | (0.6, 0.98, 0.6)   |
| 45  | Dark Green             | (0.0, 0.39, 0.0)   |
| 46  | Forest Green           | (0.13, 0.55, 0.13) |
| 47  | Sea Green              | (0.18, 0.55, 0.34) |
| 48  | Medium Sea Green       | (0.24, 0.7, 0.44)  |
| 49  | Spring Green           | (0.0, 1.0, 0.5)    |
| 50  | Light Sea Green        | (0.13, 0.7, 0.67)  |
